UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21535741     RESP   1640 
     21535749     RESP   1643 
     21535757     RESP   1652 
     21535765     RESP   1667 
     21535773     RESP   1664 
     21535781     RESP   1661 
     21535789     RESP   1658 
     21535797     RESP   1649 
     21535805     RESP   1649 
     21535813     RESP   1643 
     21535821     RESP   1637 
     21535829     RESP   1631 
     21535837     RESP   1634 
     21535845     RESP   1634 
     21535853     RESP   1625 
     21535861     RESP   1628 
     21535869     RESP   1625 
     21535877     RESP   1628 
     21535885     RESP   1631  PULS_TRIGGER
     21535893     RESP   1640 
     21535901     RESP   1646 
     21535909     RESP   1652 
     21535917     RESP   1655 
     21535925     RESP   1661 
     21535933     RESP   1667 
     21535941     RESP   1673 
     21535949     RESP   1673 
     21535957     RESP   1685 
     21535965     RESP   1697 
     21535973     RESP   1703 
     21535981     RESP   1715 
     21535989     RESP   1730 
     21535997     RESP   1742 
     21536005     RESP   1754 
     21536013     RESP   1775 
     21536021     RESP   1796 
     21536029     RESP   1823 
     21536037     RESP   1853 
     21536045     RESP   1874 
     21536053     RESP   1898 
     21536061     RESP   1931 
     21536069     RESP   1955 
     21536077     RESP   1988 
     21536085     RESP   2009 
     21536093     RESP   2039 
     21536101     RESP   2072 
     21536109     RESP   2096 
     21536117     RESP   2120 
     21536125     RESP   2156 
     21536133     RESP   2186 
     21536141     RESP   2216 
     21536149     RESP   2243 
     21536157     RESP   2273 
     21536165     RESP   2300 
     21536173     RESP   2321 
     21536181     RESP   2351 
     21536189     RESP   2378 
     21536197     RESP   2402 
     21536205     RESP   2423 
     21536213     RESP   2444 
     21536221     RESP   2459 
     21536229     RESP   2477 
     21536237     RESP   2498 
     21536245     RESP   2513 
     21536253     RESP   2525 
     21536261     RESP   2543 
     21536269     RESP   2561 
     21536277     RESP   2585 
     21536285     RESP   2606 
     21536293     RESP   2630 
     21536301     RESP   2645 
     21536309     RESP   2663 
     21536317     RESP   2678 
     21536325     RESP   2696 
     21536333     RESP   2711 
     21536341     RESP   2723 
     21536349     RESP   2732 
     21536357     RESP   2732 
     21536365     RESP   2732 
     21536373     RESP   2717 
     21536381     RESP   2699 
     21536389     RESP   2681 
     21536397     RESP   2651 
     21536405     RESP   2621 
     21536413     RESP   2585 
     21536421     RESP   2543 
     21536429     RESP   2504 
     21536437     RESP   2462 
     21536445     RESP   2417 
     21536453     RESP   2366 
     21536461     RESP   2321 
     21536469     RESP   2279 
     21536477     RESP   2234 
     21536485     RESP   2192 
     21536493     RESP   2147 
     21536501     RESP   2099 
     21536509     RESP   2060 
     21536517     RESP   2018 
     21536525     RESP   1991 
     21536533     RESP   1964 
     21536541     RESP   1940 
     21536549     RESP   1910 
     21536557     RESP   1892 
     21536565     RESP   1874 
     21536573     RESP   1850 
     21536581     RESP   1832 
     21536589     RESP   1811 
     21536597     RESP   1790 
     21536605     RESP   1775 
     21536613     RESP   1757 
     21536621     RESP   1739 
     21536629     RESP   1724 
     21536637     RESP   1715 
     21536645     RESP   1703 
     21536653     RESP   1682 
     21536661     RESP   1676 
     21536669     RESP   1667 
     21536677     RESP   1670 
     21536685     RESP   1670 
     21536693     RESP   1667 
     21536701     RESP   1661 
     21536709     RESP   1661 
     21536717     RESP   1658 
     21536725     RESP   1661 
     21536733     RESP   1658 
     21536741     RESP   1655 
     21536749     RESP   1655 
     21536757     RESP   1652 
     21536765     RESP   1658 
     21536773     RESP   1649 
     21536781     RESP   1649 
     21536789     RESP   1652 
     21536797     RESP   1652 
     21536805     RESP   1649 
     21536813     RESP   1649 
     21536821     RESP   1646 
     21536829     RESP   1643 
     21536837     RESP   1646 
     21536845     RESP   1643 
     21536853     RESP   1637 
     21536861     RESP   1643 
     21536869     RESP   1643 
     21536877     RESP   1649 
     21536885     RESP   1640 
     21536893     RESP   1637 
     21536901     RESP   1637 
     21536909     RESP   1646 
     21536917     RESP   1649 
     21536925     RESP   1655 
     21536933     RESP   1658 
     21536941     RESP   1667 
     21536949     RESP   1673 
     21536957     RESP   1673 
     21536965     RESP   1673 
     21536973     RESP   1658 
     21536981     RESP   1655 
     21536989     RESP   1655 
     21536997     RESP   1646 
     21537005     RESP   1643 
     21537013     RESP   1640 
     21537021     RESP   1634 
     21537029     RESP   1637 
     21537037     RESP   1631 
     21537045     RESP   1628 
     21537053     RESP   1619 
     21537061     RESP   1634 
     21537069     RESP   1649  PULS_TRIGGER
     21537077     RESP   1664 
     21537085     RESP   1676 
     21537093     RESP   1700 
     21537101     RESP   1715 
     21537109     RESP   1742 
     21537117     RESP   1763 
     21537125     RESP   1796 
     21537133     RESP   1823 
     21537141     RESP   1856 
     21537149     RESP   1886 
     21537157     RESP   1922 
     21537165     RESP   1958 
     21537173     RESP   1982 
     21537181     RESP   2018 
     21537197     RESP   2081 
     21537205     RESP   2117 
     21537213     RESP   2153 
     21537221     RESP   2183 
     21537229     RESP   2216 
     21537237     RESP   2252 
     21537245     RESP   2279 
     21537253     RESP   2306 
     21537261     RESP   2339 
     21537269     RESP   2363 
     21537277     RESP   2393 
     21537285     RESP   2420 
     21537293     RESP   2453 
     21537301     RESP   2480 
     21537309     RESP   2510 
     21537317     RESP   2528 
     21537325     RESP   2546 
     21537333     RESP   2564 
     21537341     RESP   2582 
     21537349     RESP   2603 
     21537357     RESP   2618 
     21537365     RESP   2639 
     21537373     RESP   2639 
     21537381     RESP   2651 
     21537389     RESP   2657 
     21537397     RESP   2663 
     21537405     RESP   2666 
     21537413     RESP   2672 
     21537421     RESP   2666 
     21537429     RESP   2669 
     21537437     RESP   2672 
     21537445     RESP   2666 
     21537453     RESP   2642 
     21537461     RESP   2627 
     21537469     RESP   2600 
     21537477     RESP   2573 
