UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21531021     PULS   1913 
     21531023     PULS   1913 
     21531025     PULS   1913 
     21531027     PULS   1898 
     21531029     PULS   1875 
     21531031     PULS   1868 
     21531033     PULS   1845 
     21531035     PULS   1823 
     21531037     PULS   1808 
     21531039     PULS   1785 
     21531041     PULS   1770 
     21531043     PULS   1755 
     21531045     PULS   1725 
     21531047     PULS   1703 
     21531049     PULS   1665 
     21531051     PULS   1620 
     21531053     PULS   1575 
     21531055     PULS   1553 
     21531057     PULS   1523 
     21531059     PULS   1508 
     21531061     PULS   1493 
     21531063     PULS   1478 
     21531065     PULS   1478 
     21531067     PULS   1478 
     21531069     PULS   1470 
     21531071     PULS   1470 
     21531073     PULS   1463 
     21531075     PULS   1455 
     21531077     PULS   1440 
     21531079     PULS   1425 
     21531081     PULS   1403 
     21531083     PULS   1373 
     21531085     PULS   1350 
     21531087     PULS   1320 
     21531089     PULS   1298 
     21531091     PULS   1275 
     21531093     PULS   1260 
     21531095     PULS   1245 
     21531097     PULS   1238 
     21531099     PULS   1223 
     21531101     PULS   1223 
     21531103     PULS   1215 
     21531105     PULS   1223 
     21531107     PULS   1238 
     21531109     PULS   1245 
     21531111     PULS   1253 
     21531113     PULS   1253 
     21531115     PULS   1253 
     21531117     PULS   1245 
     21531119     PULS   1238 
     21531121     PULS   1230 
     21531123     PULS   1230 
     21531125     PULS   1223 
     21531127     PULS   1215 
     21531129     PULS   1200 
     21531131     PULS   1193 
     21531133     PULS   1193 
     21531135     PULS   1185 
     21531137     PULS   1178 
     21531139     PULS   1163 
     21531141     PULS   1155 
     21531143     PULS   1155 
     21531145     PULS   1155 
     21531147     PULS   1163 
     21531149     PULS   1170 
     21531151     PULS   1178 
     21531153     PULS   1178 
     21531155     PULS   1178 
     21531157     PULS   1170 
     21531159     PULS   1163 
     21531161     PULS   1155 
     21531163     PULS   1163 
     21531165     PULS   1170 
     21531167     PULS   1185 
     21531169     PULS   1200 
     21531171     PULS   1215 
     21531173     PULS   1238 
     21531175     PULS   1253 
     21531177     PULS   1275 
     21531179     PULS   1298 
     21531181     PULS   1313 
     21531183     PULS   1328 
     21531185     PULS   1350 
     21531187     PULS   1365 
     21531189     PULS   1388 
     21531191     PULS   1418 
     21531193     PULS   1448 
     21531195     PULS   1493 
     21531197     PULS   1538 
     21531199     PULS   1598 
     21531201     PULS   1665 
     21531203     PULS   1755 
     21531205     PULS   1838 
     21531207     PULS   1935 
     21531211     PULS   2153 
     21531213     PULS   2258 
     21531215     PULS   2355 
     21531217     PULS   2460 
     21531219     PULS   2558 
     21531221     PULS   2648 
     21531223     PULS   2745 
     21531225     PULS   2835 
     21531227     PULS   2918 
     21531229     PULS   2993 
     21531231     PULS   3060 
     21531233     PULS   3113 
     21531235     PULS   3180 
     21531237     PULS   3225 
     21531239     PULS   3278 
     21531241     PULS   3315 
     21531243     PULS   3338 
     21531245     PULS   3368 
     21531247     PULS   3383 
     21531249     PULS   3398 
     21531251     PULS   3405 
     21531253     PULS   3405 
     21531255     PULS   3398 
     21531257     PULS   3398 
     21531259     PULS   3383 
     21531261     PULS   3375 
     21531263     PULS   3353 
     21531265     PULS   3323 
     21531267     PULS   3285 
     21531269     PULS   3240 
     21531271     PULS   3195 
     21531273     PULS   3143 
     21531275     PULS   3105 
     21531277     PULS   3053 
     21531279     PULS   3015 
     21531281     PULS   2970 
     21531283     PULS   2933 
     21531285     PULS   2888 
     21531287     PULS   2843 
     21531289     PULS   2798 
     21531291     PULS   2753 
     21531293     PULS   2715 
     21531295     PULS   2670 
     21531297     PULS   2640 
     21531299     PULS   2603 
     21531301     PULS   2573 
     21531303     PULS   2543 
     21531305     PULS   2520 
     21531307     PULS   2483 
     21531309     PULS   2445 
     21531311     PULS   2400 
     21531313     PULS   2363 
     21531315     PULS   2333 
     21531317     PULS   2288 
     21531319     PULS   2243 
     21531321     PULS   2198 
     21531323     PULS   2153 
     21531325     PULS   2108 
     21531327     PULS   2085 
     21531329     PULS   2055 
     21531331     PULS   2033 
     21531333     PULS   2003 
     21531335     PULS   1988 
     21531337     PULS   1973 
     21531339     PULS   1950 
     21531341     PULS   1920 
     21531343     PULS   1905 
     21531345     PULS   1875 
     21531347     PULS   1868 
     21531349     PULS   1860 
     21531351     PULS   1853 
     21531353     PULS   1845 
     21531355     PULS   1838 
     21531357     PULS   1845 
     21531359     PULS   1845 
     21531361     PULS   1860 
     21531363     PULS   1875 
     21531365     PULS   1883 
     21531367     PULS   1890 
     21531369     PULS   1898 
     21531371     PULS   1905 
     21531373     PULS   1913 
     21531375     PULS   1920 
     21531377     PULS   1920 
     21531379     PULS   1928 
     21531381     PULS   1935 
     21531383     PULS   1935 
     21531385     PULS   1935 
     21531387     PULS   1935 
     21531389     PULS   1928 
     21531391     PULS   1913 
     21531393     PULS   1890 
     21531395     PULS   1875 
     21531397     PULS   1845 
     21531399     PULS   1830 
     21531401     PULS   1808 
     21531403     PULS   1785 
     21531405     PULS   1770 
